Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,2759,1375,56,51173.242188,0.001094
2,1000,0.5,0.2,50.0,1000,2722,1369,29,50455.320312,0.000575
3,1000,0.5,0.2,50.0,1000,2596,1297,35,48514.398438,0.000721
4,1000,0.5,0.2,50.0,1000,2838,1453,26,49742.074219,0.000523
5,1000,0.5,0.2,50.0,1000,3002,1479,77,50302.671875,0.001531
6,1000,0.5,0.2,50.0,1000,23968,9007,176,50339.531250,0.003496
7,1000,0.5,0.2,50.0,1000,2607,1335,31,49276.652344,0.000629
8,1000,0.5,0.2,50.0,1000,3129,1607,76,49392.351562,0.001539
9,1000,0.5,0.2,50.0,1000,2554,1270,14,49478.992188,0.000283
10,1000,0.5,0.2,50.0,1000,2523,1233,10,49130.781250,0.000204
