Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,3213,1878,227,50913.457031,0.004459
2,1000,0.4,0.2,50.0,1000,24677,9159,114,50623.468750,0.002252
3,1000,0.4,0.2,50.0,1000,2999,1784,151,50157.558594,0.003011
4,1000,0.4,0.2,50.0,1000,2746,1650,54,50133.750000,0.001077
5,1000,0.4,0.2,50.0,1000,3589,2157,343,50272.578125,0.006823
6,1000,0.4,0.2,50.0,1000,2650,1601,47,49267.187500,0.000954
7,1000,0.4,0.2,50.0,1000,2929,1728,99,50274.257812,0.001969
8,1000,0.4,0.2,50.0,1000,2604,1588,62,49443.105469,0.001254
9,1000,0.4,0.2,50.0,1000,2898,1694,32,48354.605469,0.000662
10,1000,0.4,0.2,50.0,1000,2577,1526,11,50606.351562,0.000217
