Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,203079,9053,106,50681.648438,0.002091
2,1000,0.8,0.2,50.0,1000,213063,9101,104,50640.742188,0.002054
3,1000,0.8,0.2,50.0,1000,203571,9013,112,50061.992188,0.002237
4,1000,0.8,0.2,50.0,1000,209068,8969,111,50110.960938,0.002215
5,1000,0.8,0.2,50.0,1000,187415,8665,121,49116.828125,0.002464
6,1000,0.8,0.2,50.0,1000,220999,9340,128,51974.605469,0.002463
7,1000,0.8,0.2,50.0,1000,215142,8847,108,49348.628906,0.002189
8,1000,0.8,0.2,50.0,1000,208113,8963,120,50293.156250,0.002386
9,1000,0.8,0.2,50.0,1000,205808,8985,102,50089.535156,0.002036
10,1000,0.8,0.2,50.0,1000,196909,8710,122,48467.195312,0.002517
