Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2282,2047,998,49556.191406,0.020139
2,1000,0.1,0.2,50.0,1000,2478,2239,998,49510.304688,0.020157
3,1000,0.1,0.2,50.0,1000,2530,2278,999,48950.960938,0.020408
4,1000,0.1,0.2,50.0,1000,2374,2133,999,49453.808594,0.020201
5,1000,0.1,0.2,50.0,1000,114445,8615,127,49018.347656,0.002591
6,1000,0.1,0.2,50.0,1000,70609,6055,464,48466.105469,0.009574
7,1000,0.1,0.2,50.0,1000,4345,2242,975,49118.441406,0.019850
8,1000,0.1,0.2,50.0,1000,2431,2178,998,51182.402344,0.019499
9,1000,0.1,0.2,50.0,1000,2268,2017,999,50858.515625,0.019643
10,1000,0.1,0.2,50.0,1000,2272,2073,999,47609.445312,0.020983
