Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,16020,6388,477,52018.781250,0.009170
2,1000,0.2,0.2,50.0,1000,17129,6743,411,49992.320312,0.008221
3,1000,0.2,0.2,50.0,1000,3043,2395,999,48986.332031,0.020393
4,1000,0.2,0.2,50.0,1000,11843,5167,656,51023.902344,0.012857
5,1000,0.2,0.2,50.0,1000,18331,7031,345,49307.781250,0.006997
6,1000,0.2,0.2,50.0,1000,19201,7414,308,49388.757812,0.006236
7,1000,0.2,0.2,50.0,1000,3070,2434,999,49878.847656,0.020029
8,1000,0.2,0.2,50.0,1000,2861,2313,999,51336.277344,0.019460
9,1000,0.2,0.2,50.0,1000,9268,4263,752,49842.332031,0.015088
10,1000,0.2,0.2,50.0,1000,10812,4779,679,48464.128906,0.014010
