Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,173109,6826,610,50738.359375,0.012022
2,1000,0.5,0.2,50.0,1000,143091,6517,645,50787.976562,0.012700
3,1000,0.5,0.2,50.0,1000,361474,8774,258,50437.523438,0.005115
4,1000,0.5,0.2,50.0,1000,385185,8970,213,50019.464844,0.004258
5,1000,0.5,0.2,50.0,1000,87386,6072,761,49769.718750,0.015290
6,1000,0.5,0.2,50.0,1000,316670,8368,322,50351.128906,0.006395
7,1000,0.5,0.2,50.0,1000,337608,8466,277,48744.894531,0.005683
8,1000,0.5,0.2,50.0,1000,288946,8187,399,51121.070312,0.007805
9,1000,0.5,0.2,50.0,1000,406504,9053,175,50382.265625,0.003473
10,1000,0.5,0.2,50.0,1000,249817,7895,451,49953.273438,0.009028
