Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,2984,627,10,52629.289062,0.000190
2,1000,0.8,0.2,50.0,1000,2744,617,11,48552.382812,0.000227
3,1000,0.8,0.2,50.0,1000,3361,697,17,49601.699219,0.000343
4,1000,0.8,0.2,50.0,1000,3597,755,20,49805.085938,0.000402
5,1000,0.8,0.2,50.0,1000,2680,554,10,49480.148438,0.000202
6,1000,0.8,0.2,50.0,1000,3493,751,25,50848.164062,0.000492
7,1000,0.8,0.2,50.0,1000,2992,597,11,50856.753906,0.000216
8,1000,0.8,0.2,50.0,1000,2761,553,11,50903.281250,0.000216
9,1000,0.8,0.2,50.0,1000,2821,569,10,49894.683594,0.000200
10,1000,0.8,0.2,50.0,1000,3122,632,10,50261.339844,0.000199
