Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,110514,6928,610,51336.554688,0.011882
2,1000,0.5,0.2,50.0,1000,92374,6483,645,50599.394531,0.012747
3,1000,0.5,0.2,50.0,1000,196842,8662,249,49799.390625,0.005000
4,1000,0.5,0.2,50.0,1000,206088,8892,203,49546.832031,0.004097
5,1000,0.5,0.2,50.0,1000,63050,6007,760,49413.347656,0.015380
6,1000,0.5,0.2,50.0,1000,183544,8542,323,51322.320312,0.006294
7,1000,0.5,0.2,50.0,1000,197134,8801,273,50494.808594,0.005406
8,1000,0.5,0.2,50.0,1000,158115,8050,398,50331.652344,0.007908
9,1000,0.5,0.2,50.0,1000,217872,8946,161,49733.402344,0.003237
10,1000,0.5,0.2,50.0,1000,146028,7918,452,50085.070312,0.009025
