Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,820327,8996,94,50375.402344,0.001866
2,1000,0.8,0.2,50.0,1000,866742,9279,76,51637.980469,0.001472
3,1000,0.8,0.2,50.0,1000,824111,9093,84,50461.347656,0.001665
4,1000,0.8,0.2,50.0,1000,808622,8942,93,49946.437500,0.001862
5,1000,0.8,0.2,50.0,1000,790439,8734,88,49456.703125,0.001779
6,1000,0.8,0.2,50.0,1000,803142,9081,104,50546.750000,0.002058
7,1000,0.8,0.2,50.0,1000,818285,9021,95,50370.425781,0.001886
8,1000,0.8,0.2,50.0,1000,761286,8789,108,49319.546875,0.002190
9,1000,0.8,0.2,50.0,1000,822230,9081,87,50662.406250,0.001717
10,1000,0.8,0.2,50.0,1000,813972,9155,90,50976.675781,0.001766
