Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,5803,3481,999,50390.277344,0.019825
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,5803,3481,999,50390.277344,0.019825
2,1000,0.4,0.2,50.0,1000,110910,8808,143,48858.964844,0.002927
3,1000,0.4,0.2,50.0,1000,5474,3266,999,50312.710938,0.019856
4,1000,0.4,0.2,50.0,1000,101032,8319,223,48575.789062,0.004591
5,1000,0.4,0.2,50.0,1000,110669,8770,151,48922.886719,0.003086
6,1000,0.4,0.2,50.0,1000,18550,4360,895,50278.820312,0.017801
7,1000,0.4,0.2,50.0,1000,102067,8511,220,49656.980469,0.004430
8,1000,0.4,0.2,50.0,1000,5504,3377,999,50418.675781,0.019814
9,1000,0.4,0.2,50.0,1000,113016,9186,160,51011.777344,0.003137
10,1000,0.4,0.2,50.0,1000,89667,7649,322,48551.980469,0.006632
