Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,120331,9156,200,51155.574219,0.003910
2,1000,0.8,0.2,50.0,1000,118581,8911,183,49951.394531,0.003664
3,1000,0.8,0.2,50.0,1000,122597,9074,166,50336.355469,0.003298
4,1000,0.8,0.2,50.0,1000,118954,8826,178,49706.886719,0.003581
5,1000,0.8,0.2,50.0,1000,120779,8836,167,49600.753906,0.003367
6,1000,0.8,0.2,50.0,1000,118408,8843,157,49524.285156,0.003170
7,1000,0.8,0.2,50.0,1000,110820,8339,217,48401.417969,0.004483
8,1000,0.8,0.2,50.0,1000,124389,9109,153,51134.722656,0.002992
9,1000,0.8,0.2,50.0,1000,124934,9048,129,50585.406250,0.002550
10,1000,0.8,0.2,50.0,1000,125991,9084,127,50607.593750,0.002510
