Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2282,2047,998,49556.191406,0.020139
2,1000,0.1,0.2,50.0,1000,2478,2239,998,49510.304688,0.020157
3,1000,0.1,0.2,50.0,1000,2530,2278,999,48950.960938,0.020408
4,1000,0.1,0.2,50.0,1000,2374,2133,999,49453.808594,0.020201
5,1000,0.1,0.2,50.0,1000,24099,8945,103,50755.863281,0.002029
6,1000,0.1,0.2,50.0,1000,15591,6172,444,49088.597656,0.009045
7,1000,0.1,0.2,50.0,1000,3141,2245,975,49128.933594,0.019846
8,1000,0.1,0.2,50.0,1000,2431,2178,998,51182.402344,0.019499
9,1000,0.1,0.2,50.0,1000,2268,2017,999,50858.515625,0.019643
10,1000,0.1,0.2,50.0,1000,2272,2073,999,47609.445312,0.020983
