Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,105779,8686,121,48632.457031,0.002488
2,1000,0.8,0.2,50.0,1000,105983,9027,113,50272.945312,0.002248
3,1000,0.8,0.2,50.0,1000,105192,9092,136,50557.421875,0.002690
4,1000,0.8,0.2,50.0,1000,103262,8792,122,49085.820312,0.002485
5,1000,0.8,0.2,50.0,1000,107564,8949,148,50495.097656,0.002931
6,1000,0.8,0.2,50.0,1000,99089,8728,151,48599.410156,0.003107
7,1000,0.8,0.2,50.0,1000,110487,9124,119,50839.082031,0.002341
8,1000,0.8,0.2,50.0,1000,106395,9012,135,50649.953125,0.002665
9,1000,0.8,0.2,50.0,1000,105268,8983,124,50212.832031,0.002469
10,1000,0.8,0.2,50.0,1000,106547,8995,129,50049.390625,0.002577
