Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,24549,9074,98,50032.539062,0.001959
2,1000,0.4,0.2,50.0,1000,24829,9090,82,50141.070312,0.001635
3,1000,0.4,0.2,50.0,1000,22248,8367,227,50487.617188,0.004496
4,1000,0.4,0.2,50.0,1000,19737,7491,333,49817.539062,0.006684
5,1000,0.4,0.2,50.0,1000,7242,3623,929,51631.179688,0.017993
6,1000,0.4,0.2,50.0,1000,18841,7303,390,50544.312500,0.007716
7,1000,0.4,0.2,50.0,1000,20824,7975,300,50479.476562,0.005943
8,1000,0.4,0.2,50.0,1000,16260,6420,489,50451.273438,0.009693
9,1000,0.4,0.2,50.0,1000,12143,5204,724,50649.667969,0.014294
10,1000,0.4,0.2,50.0,1000,12638,5461,714,50771.882812,0.014063
