Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,23879,4810,489,49883.242188,0.009803
2,1000,0.8,0.2,50.0,1000,11916,2393,242,50891.718750,0.004755
3,1000,0.8,0.2,50.0,1000,24127,4759,468,50150.199219,0.009332
4,1000,0.8,0.2,50.0,1000,24649,4998,511,50408.140625,0.010137
5,1000,0.8,0.2,50.0,1000,23574,4703,423,48428.156250,0.008735
6,1000,0.8,0.2,50.0,1000,25010,5044,504,52254.906250,0.009645
7,1000,0.8,0.2,50.0,1000,24042,4786,483,49196.949219,0.009818
8,1000,0.8,0.2,50.0,1000,23993,4909,529,49421.921875,0.010704
9,1000,0.8,0.2,50.0,1000,23555,4753,523,48724.460938,0.010734
10,1000,0.8,0.2,50.0,1000,24705,4847,472,50484.695312,0.009349
