Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,119763,9068,106,49966.414062,0.002121
2,1000,0.4,0.2,50.0,1000,121527,9060,93,49963.804688,0.001861
3,1000,0.4,0.2,50.0,1000,105666,8308,229,50099.191406,0.004571
4,1000,0.4,0.2,50.0,1000,92340,7424,337,49498.476562,0.006808
5,1000,0.4,0.2,50.0,1000,17726,3733,929,52261.675781,0.017776
6,1000,0.4,0.2,50.0,1000,86021,7261,405,50489.542969,0.008021
7,1000,0.4,0.2,50.0,1000,93205,7794,310,49379.609375,0.006278
8,1000,0.4,0.2,50.0,1000,71533,6375,496,50406.855469,0.009840
9,1000,0.4,0.2,50.0,1000,45772,5218,726,50669.488281,0.014328
10,1000,0.4,0.2,50.0,1000,45523,5216,707,49306.027344,0.014339
