Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,2896,1712,736,51472.609375,0.014299
2,1000,0.4,0.2,50.0,1000,2840,1693,714,50400.851562,0.014166
3,1000,0.4,0.2,50.0,1000,2788,1646,699,49660.777344,0.014075
4,1000,0.4,0.2,50.0,1000,2874,1743,765,50713.531250,0.015085
5,1000,0.4,0.2,50.0,1000,2696,1618,695,47874.121094,0.014517
6,1000,0.4,0.2,50.0,1000,2869,1728,743,50904.984375,0.014596
7,1000,0.4,0.2,50.0,1000,2844,1677,697,50913.546875,0.013690
8,1000,0.4,0.2,50.0,1000,2868,1745,767,50731.628906,0.015119
9,1000,0.4,0.2,50.0,1000,2730,1605,678,48633.433594,0.013941
10,1000,0.4,0.2,50.0,1000,2861,1703,731,50752.871094,0.014403
