Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,23348,4637,310,49845.839844,0.006219
2,1000,0.8,0.2,50.0,1000,24239,4854,342,50841.484375,0.006727
3,1000,0.8,0.2,50.0,1000,23678,4522,309,50006.148438,0.006179
4,1000,0.8,0.2,50.0,1000,25376,5139,340,52532.742188,0.006472
5,1000,0.8,0.2,50.0,1000,24645,4863,293,50148.386719,0.005843
6,1000,0.8,0.2,50.0,1000,24368,4913,367,50113.468750,0.007323
7,1000,0.8,0.2,50.0,1000,24459,4881,340,50337.457031,0.006754
8,1000,0.8,0.2,50.0,1000,25601,5207,362,52325.332031,0.006918
9,1000,0.8,0.2,50.0,1000,24466,4957,362,49426.437500,0.007324
10,1000,0.8,0.2,50.0,1000,24929,4937,335,50305.656250,0.006659
