Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,23198,8629,176,49307.050781,0.003569
2,1000,0.5,0.2,50.0,1000,23305,8656,182,49010.406250,0.003713
3,1000,0.5,0.2,50.0,1000,13599,5532,689,49412.109375,0.013944
4,1000,0.5,0.2,50.0,1000,24369,8836,129,49860.589844,0.002587
5,1000,0.5,0.2,50.0,1000,23727,8793,173,49276.859375,0.003511
6,1000,0.5,0.2,50.0,1000,24602,9033,129,50273.925781,0.002566
7,1000,0.5,0.2,50.0,1000,23837,8876,148,48772.234375,0.003035
8,1000,0.5,0.2,50.0,1000,13805,5634,721,51466.609375,0.014009
9,1000,0.5,0.2,50.0,1000,15885,6284,609,50122.164062,0.012150
10,1000,0.5,0.2,50.0,1000,9660,4325,915,51236.675781,0.017858
