Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,71730,6337,490,51306.789062,0.009550
2,1000,0.2,0.2,50.0,1000,77479,6582,425,48986.945312,0.008676
3,1000,0.2,0.2,50.0,1000,3043,2395,999,48986.332031,0.020393
4,1000,0.2,0.2,50.0,1000,49055,5012,658,50247.554688,0.013095
5,1000,0.2,0.2,50.0,1000,80352,6722,364,47301.285156,0.007695
6,1000,0.2,0.2,50.0,1000,92961,7396,327,49558.898438,0.006598
7,1000,0.2,0.2,50.0,1000,3070,2434,999,49878.847656,0.020029
8,1000,0.2,0.2,50.0,1000,2861,2313,999,51336.277344,0.019460
9,1000,0.2,0.2,50.0,1000,36791,4318,765,49931.359375,0.015321
10,1000,0.2,0.2,50.0,1000,44542,4791,689,48473.578125,0.014214
