Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,2765,1380,486,51047.816406,0.009520
2,1000,0.5,0.2,50.0,1000,2786,1385,485,51341.226562,0.009447
3,1000,0.5,0.2,50.0,1000,2722,1337,469,50291.167969,0.009326
4,1000,0.5,0.2,50.0,1000,2729,1397,531,49854.371094,0.010651
5,1000,0.5,0.2,50.0,1000,2668,1365,481,49116.871094,0.009793
6,1000,0.5,0.2,50.0,1000,2726,1408,517,50102.503906,0.010319
7,1000,0.5,0.2,50.0,1000,2675,1308,464,49456.652344,0.009382
8,1000,0.5,0.2,50.0,1000,2683,1378,517,49092.937500,0.010531
9,1000,0.5,0.2,50.0,1000,2677,1344,485,49122.539062,0.009873
10,1000,0.5,0.2,50.0,1000,2658,1309,474,49075.152344,0.009659
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,2765,1380,486,51047.816406,0.009520
2,1000,0.5,0.2,50.0,1000,2786,1385,485,51341.226562,0.009447
3,1000,0.5,0.2,50.0,1000,2722,1337,469,50291.167969,0.009326
4,1000,0.5,0.2,50.0,1000,2729,1397,531,49854.371094,0.010651
5,1000,0.5,0.2,50.0,1000,2668,1365,481,49116.871094,0.009793
6,1000,0.5,0.2,50.0,1000,2726,1408,517,50102.503906,0.010319
7,1000,0.5,0.2,50.0,1000,2675,1308,464,49456.652344,0.009382
8,1000,0.5,0.2,50.0,1000,2683,1378,517,49092.937500,0.010531
9,1000,0.5,0.2,50.0,1000,2677,1344,485,49122.539062,0.009873
10,1000,0.5,0.2,50.0,1000,2658,1309,474,49075.152344,0.009659
