Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,1117832,8966,200,50047.433594,0.003996
2,1000,0.8,0.2,50.0,1000,1127829,9009,193,50559.070312,0.003817
3,1000,0.8,0.2,50.0,1000,1206494,9324,172,51664.113281,0.003329
4,1000,0.8,0.2,50.0,1000,1188903,8949,184,50436.531250,0.003648
5,1000,0.8,0.2,50.0,1000,1089807,8866,160,49757.558594,0.003216
6,1000,0.8,0.2,50.0,1000,1135197,8979,177,50238.683594,0.003523
7,1000,0.8,0.2,50.0,1000,1064302,8585,222,49779.753906,0.004460
8,1000,0.8,0.2,50.0,1000,1189172,8973,157,50428.046875,0.003113
9,1000,0.8,0.2,50.0,1000,1152398,8759,134,48929.867188,0.002739
10,1000,0.8,0.2,50.0,1000,1214729,8869,140,49463.898438,0.002830
0.034671/10 = 0.0034671
