Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,693783,6273,490,50943.968750,0.009618
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,693783,6273,490,50943.968750,0.009618
2,1000,0.2,0.2,50.0,1000,775708,6582,425,48987.351562,0.008676
3,1000,0.2,0.2,50.0,1000,3043,2395,999,48986.332031,0.020393
4,1000,0.2,0.2,50.0,1000,307286,5147,658,51032.511719,0.012894
5,1000,0.2,0.2,50.0,1000,849834,7202,363,50118.808594,0.007243
6,1000,0.2,0.2,50.0,1000,1141940,8971,143,50085.156250,0.002855
7,1000,0.2,0.2,50.0,1000,1142119,8958,117,49110.375000,0.002382
8,1000,0.2,0.2,50.0,1000,235471,5688,718,51812.035156,0.013858
9,1000,0.2,0.2,50.0,1000,436681,6133,600,49449.769531,0.012134
10,1000,0.2,0.2,50.0,1000,36421,4360,911,51389.171875,0.017727
