Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,36617,7337,924,49931.058594,0.018506
2,1000,0.8,0.2,50.0,1000,36191,7185,947,48673.273438,0.019456
3,1000,0.8,0.2,50.0,1000,43472,8019,266,49864.183594,0.005334
4,1000,0.8,0.2,50.0,1000,45785,8532,283,49930.753906,0.005668
5,1000,0.8,0.2,50.0,1000,40350,7797,589,50615.054688,0.011637
6,1000,0.8,0.2,50.0,1000,44079,8153,69,50490.750000,0.001367
7,1000,0.8,0.2,50.0,1000,42577,7735,112,48809.140625,0.002295
8,1000,0.8,0.2,50.0,1000,37516,7577,944,49972.207031,0.018891
9,1000,0.8,0.2,50.0,1000,44575,8376,89,50358.082031,0.001767
10,1000,0.8,0.2,50.0,1000,46293,8676,84,49976.367188,0.001681
