Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,19727,9022,100,51564.121094,0.001939
2,1000,0.5,0.2,50.0,1000,15648,7085,358,48403.589844,0.007396
3,1000,0.5,0.2,50.0,1000,15309,7093,386,49001.695312,0.007877
4,1000,0.5,0.2,50.0,1000,18101,8457,174,50607.101562,0.003438
5,1000,0.5,0.2,50.0,1000,19073,8912,94,50024.039062,0.001879
6,1000,0.5,0.2,50.0,1000,19460,8927,88,50619.417969,0.001738
7,1000,0.5,0.2,50.0,1000,17542,8156,198,49827.859375,0.003974
8,1000,0.5,0.2,50.0,1000,18815,8495,137,49563.570312,0.002764
9,1000,0.5,0.2,50.0,1000,16933,7848,303,50742.542969,0.005971
10,1000,0.5,0.2,50.0,1000,18815,8537,131,49613.933594,0.002640
