Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,19101,8392,106,48618.148438,0.002180
2,1000,0.5,0.2,50.0,1000,19125,7927,230,48849.933594,0.004708
3,1000,0.5,0.2,50.0,1000,17022,7304,374,50035.179688,0.007475
4,1000,0.5,0.2,50.0,1000,18954,8333,117,48882.007812,0.002394
5,1000,0.5,0.2,50.0,1000,18628,8194,220,49987.472656,0.004401
6,1000,0.5,0.2,50.0,1000,20539,8595,105,50114.304688,0.002095
7,1000,0.5,0.2,50.0,1000,18234,7876,222,49344.562500,0.004499
8,1000,0.5,0.2,50.0,1000,13414,5949,601,51832.667969,0.011595
9,1000,0.5,0.2,50.0,1000,14100,5992,583,49366.250000,0.011810
10,1000,0.5,0.2,50.0,1000,7035,3504,997,49202.007812,0.020263
