Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,36617,7337,924,49931.058594,0.018506
2,1000,0.8,0.2,50.0,1000,36191,7185,947,48673.273438,0.019456
3,1000,0.8,0.2,50.0,1000,44150,8146,266,50820.574219,0.005234
4,1000,0.8,0.2,50.0,1000,46391,8560,283,50081.097656,0.005651
5,1000,0.8,0.2,50.0,1000,40649,7820,589,50772.468750,0.011601
6,1000,0.8,0.2,50.0,1000,44447,8144,69,50391.078125,0.001369
7,1000,0.8,0.2,50.0,1000,43448,8041,112,50546.312500,0.002216
8,1000,0.8,0.2,50.0,1000,37516,7577,944,49972.207031,0.018891
9,1000,0.8,0.2,50.0,1000,45300,8541,89,51232.300781,0.001737
10,1000,0.8,0.2,50.0,1000,45080,8564,83,49247.148438,0.001685
