Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2246,1770,999,51243.871094,0.019495
2,1000,0.2,0.2,50.0,1000,2263,1793,994,50666.648438,0.019618
3,1000,0.2,0.2,50.0,1000,2287,1813,999,50132.101562,0.019927
4,1000,0.2,0.2,50.0,1000,2262,1819,997,49709.570312,0.020056
5,1000,0.2,0.2,50.0,1000,2168,1763,999,49718.253906,0.020093
6,1000,0.2,0.2,50.0,1000,2242,1783,999,51300.753906,0.019473
7,1000,0.2,0.2,50.0,1000,2319,1807,999,49625.605469,0.020131
8,1000,0.2,0.2,50.0,1000,2251,1821,997,49980.187500,0.019948
9,1000,0.2,0.2,50.0,1000,2339,1871,994,48780.914062,0.020377
10,1000,0.2,0.2,50.0,1000,2283,1835,999,50223.667969,0.019891
