Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,77555,4201,796,50069.441406,0.015898
2,1000,0.2,0.2,50.0,1000,306975,8696,123,49653.480469,0.002477
3,1000,0.2,0.2,50.0,1000,3273,2575,999,50809.425781,0.019662
4,1000,0.2,0.2,50.0,1000,3125,2516,999,49464.929688,0.020196
5,1000,0.2,0.2,50.0,1000,312249,8812,124,49977.308594,0.002481
6,1000,0.2,0.2,50.0,1000,137422,5396,605,49661.675781,0.012182
7,1000,0.2,0.2,50.0,1000,141493,5388,631,51366.734375,0.012284
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,77555,4201,796,50069.441406,0.015898
2,1000,0.2,0.2,50.0,1000,306975,8696,123,49653.480469,0.002477
3,1000,0.2,0.2,50.0,1000,3273,2575,999,50809.425781,0.019662
4,1000,0.2,0.2,50.0,1000,3125,2516,999,49464.929688,0.020196
5,1000,0.2,0.2,50.0,1000,312249,8812,124,49977.308594,0.002481
6,1000,0.2,0.2,50.0,1000,137422,5396,605,49661.675781,0.012182
7,1000,0.2,0.2,50.0,1000,141493,5388,631,51366.734375,0.012284
8,1000,0.2,0.2,50.0,1000,186201,6115,478,49673.859375,0.009623
9,1000,0.2,0.2,50.0,1000,309492,8814,91,49244.437500,0.001848
10,1000,0.2,0.2,50.0,1000,3265,2609,999,50153.898438,0.019919
