Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,20078,8759,108,50458.984375,0.002140
2,1000,0.5,0.2,50.0,1000,18269,7875,230,48312.722656,0.004761
3,1000,0.5,0.2,50.0,1000,16908,7419,374,50675.480469,0.007380
4,1000,0.5,0.2,50.0,1000,20663,8510,122,50033.957031,0.002438
5,1000,0.5,0.2,50.0,1000,17980,7945,220,49074.164062,0.004483
6,1000,0.5,0.2,50.0,1000,20037,8801,105,50984.652344,0.002059
7,1000,0.5,0.2,50.0,1000,19824,8204,227,51321.222656,0.004423
8,1000,0.5,0.2,50.0,1000,13100,5673,601,50562.093750,0.011886
9,1000,0.5,0.2,50.0,1000,12976,5922,583,48956.921875,0.011908
10,1000,0.5,0.2,50.0,1000,7035,3504,997,49202.007812,0.020263
