Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2678,2424,998,50610.417969,0.019719
2,1000,0.1,0.2,50.0,1000,2742,2466,999,51786.734375,0.019291
3,1000,0.1,0.2,50.0,1000,2703,2428,999,49736.507812,0.020086
4,1000,0.1,0.2,50.0,1000,2620,2360,998,50295.734375,0.019843
5,1000,0.1,0.2,50.0,1000,2698,2449,999,50739.105469,0.019689
6,1000,0.1,0.2,50.0,1000,2644,2399,999,49938.605469,0.020005
7,1000,0.1,0.2,50.0,1000,2756,2470,998,48953.945312,0.020387
8,1000,0.1,0.2,50.0,1000,2719,2425,999,49419.289062,0.020215
9,1000,0.1,0.2,50.0,1000,2742,2462,998,49336.394531,0.020228
10,1000,0.1,0.2,50.0,1000,2767,2484,999,50311.648438,0.019856
