Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,106158,7151,419,49076.093750,0.008538
2,1000,0.5,0.2,50.0,1000,131735,8025,289,50645.519531,0.005706
3,1000,0.5,0.2,50.0,1000,152786,8688,153,50333.898438,0.003040
4,1000,0.5,0.2,50.0,1000,160727,8876,108,49908.378906,0.002164
5,1000,0.5,0.2,50.0,1000,20014,4097,934,50565.394531,0.018471
6,1000,0.5,0.2,50.0,1000,126218,7869,308,49367.187500,0.006239
7,1000,0.5,0.2,50.0,1000,134521,8196,277,51093.542969,0.005421
8,1000,0.5,0.2,50.0,1000,139077,8185,216,49383.160156,0.004374
9,1000,0.5,0.2,50.0,1000,79426,6295,609,49451.574219,0.012315
10,1000,0.5,0.2,50.0,1000,114893,7445,378,49862.359375,0.007581
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,106158,7151,419,49076.093750,0.008538
2,1000,0.5,0.2,50.0,1000,131735,8025,289,50645.519531,0.005706
3,1000,0.5,0.2,50.0,1000,152786,8688,153,50333.898438,0.003040
4,1000,0.5,0.2,50.0,1000,160727,8876,108,49908.378906,0.002164
5,1000,0.5,0.2,50.0,1000,20014,4097,934,50565.394531,0.018471
6,1000,0.5,0.2,50.0,1000,126218,7869,308,49367.187500,0.006239
7,1000,0.5,0.2,50.0,1000,134521,8196,277,51093.542969,0.005421
8,1000,0.5,0.2,50.0,1000,139077,8185,216,49383.160156,0.004374
9,1000,0.5,0.2,50.0,1000,79426,6295,609,49451.574219,0.012315
10,1000,0.5,0.2,50.0,1000,114893,7445,378,49862.359375,0.007581
