Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,31887,6439,675,49287.160156,0.013695
2,1000,0.8,0.2,50.0,1000,28922,5811,607,50240.300781,0.012082
3,1000,0.8,0.2,50.0,1000,31385,6230,618,47670.968750,0.012964
4,1000,0.8,0.2,50.0,1000,22702,4665,525,49763.714844,0.010550
5,1000,0.8,0.2,50.0,1000,13967,2761,317,50740.289062,0.006248
6,1000,0.8,0.2,50.0,1000,31307,6346,637,49026.015625,0.012993
7,1000,0.8,0.2,50.0,1000,31851,6298,674,49639.921875,0.013578
8,1000,0.8,0.2,50.0,1000,18509,3738,426,49727.011719,0.008567
9,1000,0.8,0.2,50.0,1000,32461,6554,729,48607.675781,0.014998
10,1000,0.8,0.2,50.0,1000,32498,6487,664,48943.214844,0.013567
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,31887,6439,675,49287.160156,0.013695
2,1000,0.8,0.2,50.0,1000,28922,5811,607,50240.300781,0.012082
3,1000,0.8,0.2,50.0,1000,31385,6230,618,47670.968750,0.012964
4,1000,0.8,0.2,50.0,1000,22702,4665,525,49763.714844,0.010550
5,1000,0.8,0.2,50.0,1000,13967,2761,317,50740.289062,0.006248
6,1000,0.8,0.2,50.0,1000,31307,6346,637,49026.015625,0.012993
7,1000,0.8,0.2,50.0,1000,31851,6298,674,49639.921875,0.013578
8,1000,0.8,0.2,50.0,1000,18509,3738,426,49727.011719,0.008567
9,1000,0.8,0.2,50.0,1000,32461,6554,729,48607.675781,0.014998
10,1000,0.8,0.2,50.0,1000,32498,6487,664,48943.214844,0.013567
