Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,33022,9194,89,51016.417969,0.001745
2,1000,0.4,0.2,50.0,1000,17126,5758,633,51222.613281,0.012358
3,1000,0.4,0.2,50.0,1000,27411,7829,256,50232.214844,0.005096
4,1000,0.4,0.2,50.0,1000,6663,3488,971,50638.132812,0.019175
5,1000,0.4,0.2,50.0,1000,21564,6693,511,51758.847656,0.009873
6,1000,0.4,0.2,50.0,1000,29433,8381,216,51325.781250,0.004208
7,1000,0.4,0.2,50.0,1000,31978,8865,71,48690.964844,0.001458
8,1000,0.4,0.2,50.0,1000,28179,7932,213,49985.058594,0.004261
9,1000,0.4,0.2,50.0,1000,27136,7904,294,50606.273438,0.005810
10,1000,0.4,0.2,50.0,1000,30603,8449,155,50152.375000,0.003091
