Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,16443,8607,103,49550.050781,0.002079
2,1000,0.4,0.2,50.0,1000,9586,5294,678,49541.878906,0.013685
3,1000,0.4,0.2,50.0,1000,14699,7931,237,50173.515625,0.004724
4,1000,0.4,0.2,50.0,1000,10559,5774,579,50666.496094,0.011428
5,1000,0.4,0.2,50.0,1000,12984,7159,403,50957.355469,0.007909
6,1000,0.4,0.2,50.0,1000,11239,5924,570,50083.726562,0.011381
7,1000,0.4,0.2,50.0,1000,14820,7962,176,48306.285156,0.003643
8,1000,0.4,0.2,50.0,1000,16510,8652,89,49467.375000,0.001799
9,1000,0.4,0.2,50.0,1000,8202,4581,771,48436.046875,0.015918
10,1000,0.4,0.2,50.0,1000,16790,8675,117,50933.039062,0.002297
