Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,21632,8744,108,50387.734375,0.002143
2,1000,0.5,0.2,50.0,1000,19475,8000,230,49188.210938,0.004676
3,1000,0.5,0.2,50.0,1000,17434,7261,374,49610.750000,0.007539
4,1000,0.5,0.2,50.0,1000,19363,8435,117,49420.203125,0.002367
5,1000,0.5,0.2,50.0,1000,19016,8123,220,49725.042969,0.004424
6,1000,0.5,0.2,50.0,1000,20943,8949,105,52116.175781,0.002015
7,1000,0.5,0.2,50.0,1000,18888,8073,222,50671.609375,0.004381
8,1000,0.5,0.2,50.0,1000,12592,5800,600,50967.230469,0.011772
9,1000,0.5,0.2,50.0,1000,14300,6082,583,49675.578125,0.011736
10,1000,0.5,0.2,50.0,1000,7035,3504,997,49202.007812,0.020263
