Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,24890,7494,413,51006.011719,0.008097
2,1000,0.5,0.2,50.0,1000,27141,7835,274,49459.035156,0.005540
3,1000,0.5,0.2,50.0,1000,31690,8835,145,50981.167969,0.002844
4,1000,0.5,0.2,50.0,1000,32421,8890,98,50069.683594,0.001957
5,1000,0.5,0.2,50.0,1000,9624,4086,934,50562.796875,0.018472
6,1000,0.5,0.2,50.0,1000,27100,7832,287,49127.167969,0.005842
7,1000,0.5,0.2,50.0,1000,29074,8331,265,51700.828125,0.005126
8,1000,0.5,0.2,50.0,1000,29136,8159,203,49363.734375,0.004112
9,1000,0.5,0.2,50.0,1000,19814,6358,599,49693.417969,0.012054
10,1000,0.5,0.2,50.0,1000,26180,7704,365,51200.656250,0.007129
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,24890,7494,413,51006.011719,0.008097
2,1000,0.5,0.2,50.0,1000,27141,7835,274,49459.035156,0.005540
3,1000,0.5,0.2,50.0,1000,31690,8835,145,50981.167969,0.002844
4,1000,0.5,0.2,50.0,1000,32421,8890,98,50069.683594,0.001957
5,1000,0.5,0.2,50.0,1000,9624,4086,934,50562.796875,0.018472
6,1000,0.5,0.2,50.0,1000,27100,7832,287,49127.167969,0.005842
7,1000,0.5,0.2,50.0,1000,29074,8331,265,51700.828125,0.005126
8,1000,0.5,0.2,50.0,1000,29136,8159,203,49363.734375,0.004112
9,1000,0.5,0.2,50.0,1000,19814,6358,599,49693.417969,0.012054
10,1000,0.5,0.2,50.0,1000,26180,7704,365,51200.656250,0.007129
