Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,9961,4017,790,49162.191406,0.016069
2,1000,0.2,0.2,50.0,1000,32899,9087,99,51736.660156,0.001914
3,1000,0.2,0.2,50.0,1000,3273,2575,999,50809.425781,0.019662
4,1000,0.2,0.2,50.0,1000,3125,2516,999,49464.929688,0.020196
5,1000,0.2,0.2,50.0,1000,32957,9080,91,51686.078125,0.001761
6,1000,0.2,0.2,50.0,1000,16622,5549,592,50429.031250,0.011739
7,1000,0.2,0.2,50.0,1000,15929,5374,621,51255.503906,0.012116
8,1000,0.2,0.2,50.0,1000,20492,6202,462,50155.441406,0.009211
9,1000,0.2,0.2,50.0,1000,31555,8725,69,48625.890625,0.001419
10,1000,0.2,0.2,50.0,1000,3265,2609,999,50153.898438,0.019919
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,9961,4017,790,49162.191406,0.016069
2,1000,0.2,0.2,50.0,1000,32899,9087,99,51736.660156,0.001914
3,1000,0.2,0.2,50.0,1000,3273,2575,999,50809.425781,0.019662
4,1000,0.2,0.2,50.0,1000,3125,2516,999,49464.929688,0.020196
5,1000,0.2,0.2,50.0,1000,32957,9080,91,51686.078125,0.001761
6,1000,0.2,0.2,50.0,1000,16622,5549,592,50429.031250,0.011739
7,1000,0.2,0.2,50.0,1000,15929,5374,621,51255.503906,0.012116
8,1000,0.2,0.2,50.0,1000,20492,6202,462,50155.441406,0.009211
9,1000,0.2,0.2,50.0,1000,31555,8725,69,48625.890625,0.001419
10,1000,0.2,0.2,50.0,1000,3265,2609,999,50153.898438,0.019919
