Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,22680,6784,375,50043.160156,0.007494
2,1000,0.1,0.2,50.0,1000,21744,6619,405,48817.015625,0.008296
3,1000,0.1,0.2,50.0,1000,12389,4497,702,50388.003906,0.013932
4,1000,0.1,0.2,50.0,1000,2496,2273,999,49595.753906,0.020143
5,1000,0.1,0.2,50.0,1000,2535,2282,999,51540.945312,0.019383
6,1000,0.1,0.2,50.0,1000,21579,6593,389,47974.917969,0.008108
7,1000,0.1,0.2,50.0,1000,3338,2516,987,51511.128906,0.019161
8,1000,0.1,0.2,50.0,1000,9746,3870,805,51022.476562,0.015777
9,1000,0.1,0.2,50.0,1000,26100,7466,250,48935.839844,0.005109
10,1000,0.1,0.2,50.0,1000,2655,2372,998,49043.492188,0.020349
