Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,38281,7676,952,49899.742188,0.019078
2,1000,0.8,0.2,50.0,1000,38463,7624,964,49710.332031,0.019392
3,1000,0.8,0.2,50.0,1000,44108,8257,267,51272.609375,0.005207
4,1000,0.8,0.2,50.0,1000,45532,8683,283,50802.972656,0.005571
5,1000,0.8,0.2,50.0,1000,40959,7772,559,49846.019531,0.011215
6,1000,0.8,0.2,50.0,1000,40089,7758,499,51272.421875,0.009732
7,1000,0.8,0.2,50.0,1000,39708,7661,686,51379.496094,0.013352
8,1000,0.8,0.2,50.0,1000,43996,8169,283,51411.796875,0.005505
9,1000,0.8,0.2,50.0,1000,43406,8127,89,49018.082031,0.001816
10,1000,0.8,0.2,50.0,1000,44816,8366,84,48013.820312,0.001749
