Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,20219,8794,106,50675.703125,0.002092
2,1000,0.5,0.2,50.0,1000,18222,8071,229,49612.632812,0.004616
3,1000,0.5,0.2,50.0,1000,16483,7170,372,49155.250000,0.007568
4,1000,0.5,0.2,50.0,1000,19972,8207,117,48003.121094,0.002437
5,1000,0.5,0.2,50.0,1000,19667,8239,220,50421.445312,0.004363
6,1000,0.5,0.2,50.0,1000,19400,8602,103,49917.156250,0.002063
7,1000,0.5,0.2,50.0,1000,19457,7961,222,50001.222656,0.004440
8,1000,0.5,0.2,50.0,1000,12799,5673,600,50297.941406,0.011929
9,1000,0.5,0.2,50.0,1000,13524,6106,583,49835.238281,0.011699
10,1000,0.5,0.2,50.0,1000,7035,3504,997,49202.007812,0.020263
