Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,32412,8877,102,49269.468750,0.002070
2,1000,0.6,0.2,50.0,1000,28060,7998,336,50434.074219,0.006662
3,1000,0.6,0.2,50.0,1000,32527,9033,129,49740.996094,0.002593
4,1000,0.6,0.2,50.0,1000,31929,8754,126,49067.671875,0.002568
5,1000,0.6,0.2,50.0,1000,31958,8877,142,49756.042969,0.002854
6,1000,0.6,0.2,50.0,1000,27056,7837,344,50789.570312,0.006773
7,1000,0.6,0.2,50.0,1000,31927,8877,160,49650.285156,0.003223
8,1000,0.6,0.2,50.0,1000,18700,5903,706,49957.421875,0.014132
9,1000,0.6,0.2,50.0,1000,22837,6901,515,48141.492188,0.010698
10,1000,0.6,0.2,50.0,1000,33537,9233,120,51029.277344,0.002352
