Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,157385,8679,131,48162.843750,0.002720
2,1000,0.8,0.2,50.0,1000,161273,8926,141,49906.785156,0.002825
3,1000,0.8,0.2,50.0,1000,163866,9070,127,50110.160156,0.002534
4,1000,0.8,0.2,50.0,1000,160830,8860,141,49486.027344,0.002849
5,1000,0.8,0.2,50.0,1000,145145,8313,217,48181.582031,0.004504
6,1000,0.8,0.2,50.0,1000,159023,8952,152,50018.750000,0.003039
7,1000,0.8,0.2,50.0,1000,157876,8787,183,50687.117188,0.003610
8,1000,0.8,0.2,50.0,1000,146065,8698,244,49962.503906,0.004884
9,1000,0.8,0.2,50.0,1000,159196,8924,143,49603.546875,0.002883
10,1000,0.8,0.2,50.0,1000,163002,8901,142,49813.441406,0.002851
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,157385,8679,131,48162.843750,0.002720
2,1000,0.8,0.2,50.0,1000,161273,8926,141,49906.785156,0.002825
3,1000,0.8,0.2,50.0,1000,163866,9070,127,50110.160156,0.002534
4,1000,0.8,0.2,50.0,1000,160830,8860,141,49486.027344,0.002849
5,1000,0.8,0.2,50.0,1000,145145,8313,217,48181.582031,0.004504
6,1000,0.8,0.2,50.0,1000,159023,8952,152,50018.750000,0.003039
7,1000,0.8,0.2,50.0,1000,157876,8787,183,50687.117188,0.003610
8,1000,0.8,0.2,50.0,1000,146065,8698,244,49962.503906,0.004884
9,1000,0.8,0.2,50.0,1000,159196,8924,143,49603.546875,0.002883
10,1000,0.8,0.2,50.0,1000,163002,8901,142,49813.441406,0.002851
