Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,142399,6426,491,51769.867188,0.009484
2,1000,0.2,0.2,50.0,1000,156873,6807,426,50258.933594,0.008476
3,1000,0.2,0.2,50.0,1000,3043,2395,999,48986.332031,0.020393
4,1000,0.2,0.2,50.0,1000,97470,5065,658,50549.839844,0.013017
5,1000,0.2,0.2,50.0,1000,171182,7036,363,49150.296875,0.007386
6,1000,0.2,0.2,50.0,1000,176518,7294,326,48997.808594,0.006653
7,1000,0.2,0.2,50.0,1000,3070,2434,999,49878.847656,0.020029
8,1000,0.2,0.2,50.0,1000,2861,2313,999,51336.277344,0.019460
9,1000,0.2,0.2,50.0,1000,72543,4339,765,50050.996094,0.015284
10,1000,0.2,0.2,50.0,1000,91608,4837,689,48738.933594,0.014137
