Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,231467,8971,202,50108.226562,0.004031
2,1000,0.8,0.2,50.0,1000,235045,8782,191,49268.132812,0.003877
3,1000,0.8,0.2,50.0,1000,238020,9049,165,50119.023438,0.003292
4,1000,0.8,0.2,50.0,1000,233332,8778,180,49485.269531,0.003637
5,1000,0.8,0.2,50.0,1000,235425,8860,168,49689.648438,0.003381
6,1000,0.8,0.2,50.0,1000,243160,9126,178,51111.441406,0.003483
7,1000,0.8,0.2,50.0,1000,219276,8533,230,49475.156250,0.004649
8,1000,0.8,0.2,50.0,1000,238171,8844,147,49712.742188,0.002957
9,1000,0.8,0.2,50.0,1000,242130,8813,131,49231.613281,0.002661
10,1000,0.8,0.2,50.0,1000,245720,8980,145,50121.460938,0.002893
