Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,276722,6308,490,51138.792969,0.009582
2,1000,0.2,0.2,50.0,1000,312513,6691,426,49596.687500,0.008589
3,1000,0.2,0.2,50.0,1000,3043,2395,999,48986.332031,0.020393
4,1000,0.2,0.2,50.0,1000,158991,5122,658,50892.011719,0.012929
5,1000,0.2,0.2,50.0,1000,342358,7090,363,49480.046875,0.007336
6,1000,0.2,0.2,50.0,1000,358665,7399,327,49576.343750,0.006596
7,1000,0.2,0.2,50.0,1000,3070,2434,999,49878.847656,0.020029
8,1000,0.2,0.2,50.0,1000,2861,2313,999,51336.277344,0.019460
9,1000,0.2,0.2,50.0,1000,143254,4471,767,50753.410156,0.015112
10,1000,0.2,0.2,50.0,1000,173061,4835,689,48717.750000,0.014143
