Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,452040,9085,203,50755.375000,0.004000
2,1000,0.8,0.2,50.0,1000,485280,9324,195,52261.351562,0.003731
3,1000,0.8,0.2,50.0,1000,479811,9104,172,50420.667969,0.003411
4,1000,0.8,0.2,50.0,1000,468741,8882,183,50067.066406,0.003655
5,1000,0.8,0.2,50.0,1000,473383,9036,162,50654.085938,0.003198
6,1000,0.8,0.2,50.0,1000,465554,8931,174,49971.238281,0.003482
7,1000,0.8,0.2,50.0,1000,442543,8592,222,49815.746094,0.004456
8,1000,0.8,0.2,50.0,1000,491860,9028,158,50749.785156,0.003113
9,1000,0.8,0.2,50.0,1000,472686,8695,134,48575.718750,0.002759
10,1000,0.8,0.2,50.0,1000,469034,8734,136,48738.687500,0.002790
0.034595/10 = 0.0034595
